STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
2247,GROUND WATER FROM SILAPATHAR,Assam,20,23,22,6.6,6.8,6.7,274,752,513,0.4,1.8,1.1,0.5,1,1,NA,NA,NA,NA,NA,NA
2248,GROUND WATER FROM LAKHIMPUR TOWN,Assam,20,27,24,6.1,6.6,6.4,73,212,143,1.1,2.8,2,1.01,1,1,NA,NA,NA,NA,NA,NA
2249,GROUND WATER FROM TEZPUR (MISSION CHARIALI),Assam,22,25,24,6.1,6.9,6.5,159,264,212,0.9,2.1,1.5,1.67,2,2,NA,NA,NA,360,360,360
2250,GROUND WATER FROM NAGAON (PANIGAON),Assam,29,29,29,7.1,7.1,7.1,910,910,910,2.3,2.3,2.3,1.3,1.3,1.3,NA,NA,NA,NA,NA,NA
2251,GROUND WATER FROM JAGIROAD NEAR HPC EFFLUENT DISCHARGE POINT,Assam,28,30,29,6.8,7.2,7,309,331,320,0.9,0.9,0.9,0.42,0,0,NA,NA,NA,NA,NA,NA
2252,GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK-GUWAHATI,Assam,24,25,25,6.6,6.7,6.7,257,260,259,1.6,5,3.3,0.53,0,1,NA,NA,NA,NA,NA,NA
2253,GROUND WATER FROM NALBARI,Assam,26,30,28,6.6,7,6.8,270,293,282,0.8,1.5,1.2,1.44,1.44,1.44,NA,NA,NA,NA,NA,NA
2254,GROUND WATER FROM BARPETA ROAD(RLY STATION),Assam,25,28,26,7.3,7.5,7.4,649,1370,1010,0.9,1.8,1.4,2.57,3.05,3,NA,NA,NA,NA,NA,NA
2255,"GROUND WATER NEAR BPRL, DHALIGAON",Assam,24,29,27,5.9,6.7,6.3,160,472,316,1.4,2.8,2.1,5,5,5,NA,NA,NA,360,360,360
2256,GROUND WATER FROM KOKRAJHAR DISTRICT (HS SCHOOL ),Assam,27,29,28,5.8,6.1,6,110,166,138,1.2,3.9,2.6,0.43,0.43,0.43,NA,NA,NA,NA,NA,NA
2257,GROUND WATER FROM DHUBRI DISTRICT (COLLEGE NAGAR ),Assam,28,28,28,6.4,7.5,7,434,702,568,1.9,2.5,2.2,0.9,1,1,NA,NA,NA,NA,NA,NA
2258,GROUND WATER FROM GOALPARA DIST. (GOALPARA COLLEGE ),Assam,23,23,23,6.1,6.1,6.1,253,253,253,3.2,3.2,3.2,3.43,3.43,3.43,NA,NA,NA,NA,NA,NA
2259,GROUND WATER FROM DIPHU (GOVT. COLLEGE),Assam,26,26,26,7,7,7,1307,1307,1307,2,2,2,0.87,1,1,NA,NA,NA,NA,NA,NA
2261,GROUND WATER FROM HAFLONG,Assam,17,18,18,7.1,7.1,7.1,92,196,144,0.5,0.8,0.7,0.7,1,1,NA,NA,NA,NA,NA,NA
